lat,xnagb,xnage,xnagd,xnagf,xnagg,xmzke,xmzkg,xmzkh,xmzkb,xmzkc,pi_ctrl,pi_forc,LGM_forc
11.0,301.39671630859374,301.2321350097656,301.4207458496094,301.20326538085936,301.16527099609374,298.0274719238281,296.92188720703126,297.7153381347656,296.66810302734376,298.42987670898435,301.3144256591797,301.2630940755209,297.5548990885417
13.0,301.168798828125,300.9639831542969,301.168359375,301.00176391601565,300.87880249023436,297.7764404296875,296.7133483886719,297.41716918945315,296.45823364257814,298.1540466308594,301.06639099121094,301.01630859375,297.3023193359375
15.0,301.2987060546875,301.0823669433594,301.2918701171875,301.1593322753906,300.8836364746094,297.7117919921875,296.7660827636719,297.4126281738281,296.4298400878906,298.1268005371094,301.19053649902344,301.1116129557292,297.2968343098958
17.0,300.966845703125,300.8627624511719,300.9564697265625,300.8649475097656,300.65370483398436,297.258154296875,296.44232788085935,297.0362121582031,296.0190490722656,297.76373901367185,300.91480407714846,300.8250406901041,296.9122314453125
19.0,300.2251403808594,300.198193359375,300.2512145996094,300.2430786132812,299.96831665039065,296.51109008789064,295.76234130859376,296.4149108886719,295.2851318359375,297.0918701171875,300.2116668701172,300.1542032877604,296.2294474283854
21.0,299.3127868652344,299.3458618164062,299.3718322753906,299.40599365234374,299.1008361816406,295.6131164550781,294.89317626953124,295.6073791503906,294.3486328125,296.2425537109375,299.32932434082034,299.29288736979163,295.3712239583333
23.0,298.3554931640625,298.46723022460935,298.4486145019531,298.4679382324219,298.20660400390625,294.6773986816406,293.94133911132815,294.694580078125,293.31483764648436,295.324560546875,298.41136169433594,298.3743855794271,294.4377726236979
25.0,297.365478515625,297.6280212402344,297.5464172363281,297.5451354980469,297.32293701171875,293.7877502441406,292.9527893066406,293.77978515625,292.2737731933594,294.424072265625,297.4967498779297,297.47149658203125,293.50677490234375
27.0,295.9226318359375,296.1499938964844,296.05498657226565,296.11920776367185,295.90093994140625,292.2081604003906,291.38897094726565,292.26845703125,290.6245544433594,292.8822998046875,296.03631286621095,296.02504475911456,291.9551961263021
29.0,294.16310424804686,294.4168273925781,294.3031433105469,294.43365478515625,294.1691650390625,289.97735595703125,289.1547485351563,290.0883361816406,288.1466369628906,290.7994140625,294.2899658203125,294.30198771158854,289.740146891276
31.0,292.4429016113281,292.7347106933594,292.5780456542969,292.724853515625,292.4355712890625,287.70435791015626,286.90013427734374,287.87904663085936,285.7242492675781,288.6646484375,292.58880615234375,292.57949015299477,287.49451293945316
33.0,290.75444946289065,291.07017211914064,290.8629516601562,290.98394165039065,290.72950439453126,285.3902648925781,284.6255126953125,285.6505554199219,283.3737365722656,286.4616638183594,290.91231079101567,290.858799235026,285.22211100260415
35.0,288.7265930175781,289.0500793457031,288.83721923828125,288.9568176269531,288.80169677734375,282.4282531738281,281.681640625,282.7831726074219,280.2435607910156,283.6685485839844,288.8883361816406,288.86524454752606,282.2976888020833
37.0,287.7476867675781,288.13950805664064,287.85296630859375,287.9815979003906,287.83216552734376,280.4748840332031,279.8177001953125,280.8256530761719,278.1435607910156,281.70302124023436,287.9435974121094,287.88890991210934,280.37274576822915
39.0,286.5571655273437,287.0919921875,286.7130187988281,286.83544921875,286.6732666015625,278.6020080566406,277.94097900390625,278.89515991210936,276.1455322265625,279.76323852539065,286.8245788574219,286.7405782063802,278.47938232421876
41.0,285.03126220703126,285.68897705078126,285.2842102050781,285.38287353515625,285.183349609375,276.5560241699219,275.94276123046876,276.8671936035156,273.977490234375,277.6257263183594,285.36011962890626,285.2834777832031,276.45532633463546
43.0,283.37538452148436,284.0856201171875,283.75616455078125,283.7865417480469,283.5637939453125,274.4862121582031,273.94963989257815,274.8630676269531,271.78151245117186,275.46510620117186,283.7305023193359,283.70216674804686,274.43297322591144
45.0,282.1241149902344,282.810791015625,282.64129638671875,282.5072937011719,282.3590087890625,272.9447326660156,272.3235168457031,273.2499084472656,270.1137390136719,273.8540954589844,282.4674530029297,282.5025329589844,272.8393859863281
47.0,280.2745300292969,281.0167724609375,280.8932739257813,280.6528015136719,280.5706298828125,270.4432678222656,269.83294067382815,270.80735473632814,267.7528015136719,271.41969604492186,280.64565124511716,280.70556844075526,270.36118774414064
49.0,278.7949462890625,279.4852355957031,279.3918029785156,279.14902954101564,279.04832153320314,267.61644287109374,267.0338500976562,268.0126159667969,265.07359008789064,268.5752685546875,279.1400909423828,279.1963846842448,267.5543029785156
51.0,277.55113525390624,278.2128479003906,278.1340637207031,277.9100402832031,277.76930541992186,265.0001220703125,264.4674072265625,265.4541809082031,262.5150207519531,265.99249267578125,277.8819915771484,277.937803141276,264.9739034016927
53.0,276.44098510742185,277.1374450683594,277.0572570800781,276.834228515625,276.67201538085936,262.70628051757814,262.21015625,263.24192504882814,260.2061767578125,263.7965576171875,276.7892150878906,276.8545003255208,262.71945393880213
55.0,275.3945007324219,276.1380310058594,276.0386047363281,275.8043212890625,275.6560974121094,260.4230041503906,259.8740234375,261.0071105957031,257.96630859375,261.566162109375,275.7662658691406,275.8330078125,260.43471272786456
57.0,274.0147644042969,274.7701110839844,274.6742736816406,274.463916015625,274.2991638183594,258.5074768066406,257.8947021484375,259.07866821289065,256.03453369140624,259.7741943359375,274.39243774414064,274.47911783854164,258.4936157226563
59.0,272.2106079101562,272.89024658203124,272.85895385742185,272.65814819335935,272.4750549316406,256.0799957275391,255.33858947753907,256.56273193359374,253.4270812988281,257.3297943115234,272.5504272460937,272.66405232747394,255.9937723795573
61.0,270.23118896484374,270.8214111328125,270.88926391601564,270.67210083007814,270.44635620117185,253.65532531738282,252.8027313232422,254.1927062988281,250.535107421875,255.00505676269532,270.52630004882815,270.6692403157552,253.55025431315107
63.0,268.26897583007815,268.77293090820314,268.93401489257815,268.6831787109375,268.4086608886719,251.58185119628905,250.61199951171875,252.2594024658203,247.9662841796875,253.15713195800782,268.52095336914067,268.6752848307292,251.48441772460936
65.0,266.4597473144531,266.8404846191406,267.0342102050781,266.7611083984375,266.4905700683594,250.0415802001953,248.819091796875,250.6110382080078,246.5447998046875,251.7282257080078,266.6501159667969,266.761962890625,249.82390340169272
67.0,264.41038208007814,264.7512268066406,264.97088012695315,264.56484375,264.2904968261719,248.45890197753906,247.02850341796875,248.88343811035156,244.46507568359374,250.29066467285156,264.5808044433594,264.60874023437503,248.12361450195314
69.0,262.7856750488281,263.15380859375,263.4440490722656,262.8892028808594,262.668359375,246.01718444824218,244.83652038574218,246.4143524169922,241.83417663574218,248.2150909423828,262.96974182128906,263.000537109375,245.75601908365886
