lat,xnagb,xnage,xnagd,xnagf,xnagg,xmzke,xmzkg,xmzkh,xmzkb,xmzkc,pi_ctrl,pi_forc,LGM_forc
-43.0,-3.4356445312499773,-3.2425048828125114,-3.2145507812500114,-3.041778564453125,-3.081695556640625,-0.8133300781249773,-0.44459228515626137,-0.625579833984375,-0.39260253906252274,-0.7367004394531023,-3.3390747070312443,285.12989908854166,281.5934285481771
-41.0,-1.6573852539062273,-1.5096069335937727,-1.41717529296875,-1.2661254882812614,-1.341949462890625,1.3192993164062727,1.5576843261718523,1.4803466796875,1.82196044921875,1.3409484863281023,-1.58349609375,286.9008239746094,283.6737060546875
-39.0,0.14334716796872726,0.20780029296872726,0.35036621093752274,0.4537353515625,0.392303466796875,3.2360961914062614,3.3722351074218864,3.3744140625000227,3.8463256835937614,3.174224853515625,0.17557373046872726,288.64137573242186,285.54884440104166
-37.0,1.7594238281250227,1.7655395507812273,1.8999450683593864,1.9792236328124773,1.9797790527343864,4.719769287109386,4.797961425781239,4.834936523437477,5.423571777343739,4.577337646484352,1.762481689453125,290.195556640625,287.00548502604164
-35.0,2.93505859375,2.90264892578125,2.968597412109375,3.10546875,3.162445068359375,5.919281005859375,5.88983154296875,5.91796875,6.60296630859375,5.666351318359375,2.918853759765625,291.3214111328125,288.1302897135417
-33.0,3.8649658203124773,3.8379272460937273,3.8483825683593977,3.9805664062499773,4.043109130859364,6.928118896484364,6.800305175781261,6.837866210937477,7.626110839843761,6.568792724609352,3.8514465332031023,292.19992675781253,289.0766927083333
-31.0,4.847918701171864,4.827752685546898,4.790972900390614,4.945349121093727,4.951367187500011,7.927288818359386,7.793432617187477,7.764501953124977,8.606738281249989,7.496594238281261,4.837835693359381,293.13847045898433,290.04967041015624
-29.0,5.812066650390648,5.769512939453136,5.689935302734398,5.882238769531227,5.843310546874989,8.888739013671852,8.760290527343727,8.681311035156227,9.542102050781239,8.412219238281239,5.790789794921892,294.04773559570316,290.99804280598954
-27.0,6.720166015625011,6.62548828125,6.525634765625,6.743780517578102,6.695269775390614,9.786041259765625,9.620617675781261,9.556182861328125,10.416052246093727,9.280084228515648,6.672827148437506,294.8974690755208,291.8755432128906
-25.0,7.569580078125,7.4228515625,7.365234375,7.552642822265625,7.503814697265625,10.594390869140625,10.32281494140625,10.341461181640625,11.19903564453125,10.066558837890625,7.4962158203125,295.7164713541667,292.6408182779948
-23.0,8.316967773437511,8.060156249999977,8.113525390625,8.218634033203102,8.205596923828125,11.256719970703102,10.972058105468761,10.936505126953136,11.84332275390625,10.740167236328148,8.188562011718744,296.421826171875,293.27635701497394
